Player,Deck,Placement,Points,Deck List
Luan,Duskana,1,3,https://www.ligamagic.com.br/?view=dks/deck&id=9941684
Nando,Tivit,4,0,https://www.ligamagic.com.br/?view=dks/deck&id=9983526
Gus,Malcolm Kediss,3,0,https://lig.ae/d/9977556
Kevin,Mutate,2,0,https://lig.ae/d/9982200
,,,,
,,,,
Gus,Malcolm Kediss,1,3,
Marcos,Edric,3,0,
Jeff,Tiamat,3,0,https://lig.ae/d/9432907
Luan,Emry,3,0,https://www.ligamagic.com.br/?view=dks/deck&id=9927828
,,,,
,,,,
Nando,Tivit,1,3,
Marcos,Edric,3,0,
Jeff,Tiamat,3,0,
Kevin,Grave,3,0,
,,,,
,,,,
Nando,Tivit,1,3,
Luan,Sythis,3,0,https://www.ligamagic.com.br/?view=dks/deck&id=9928756
Jeff,Kenrith,3,0,
Marcos,Edric,3,0,
,,,,
,,,,
Marcos,Edric,3,0,
Jeff,Kenrith,3,0,
Kevin,Grave,3,0,
Rafa,Sephara,1,3,https://lig.ae/d/10036626
,,,,
Gus,Malcolm Kediss,1,3,
Kevin,Grave,2,0,
Nando,Tivit,4,0,
Jeff,Kenrith,2,0,
,,,,
Luan,Emry,2,0,
Kevin,Grave,1,3,
Marcos,Edric,3,0,
Nando,Tivit,4,0,
,,,,
Luan,Duskana,1,3,
Gus,Malcolm Kediss,4,0,
Kevin,Grave,2,0,
Nando,Tivit,3,0,
,,,,
,,,,
Jeff,Kenrith,2,0,
Gus,Malcolm Kediss,4,0,
Kevin,Grave,2,0,
Nando,Tivit,1,3,
,,,,
,,,,
Jeff,Kenrith,1,3,
Gus,Ellivere,2,0,https://www.ligamagic.com.br/?view=dks/deck&id=9792230
Luan,Duskana,3,0,
Nando,Tivit,4,0,
,,,,
,,,,
Jeff,Kenrith,4,0,
Gus,Nymris,1,3,https://lig.ae/d/10082241
Luan,Duskana,4,0,
Nando,Tivit,4,0,
,,,,
,,,,
Jeff,Kenrith,3,0,
Gus,Nymris,2,0,
Luan,Duskana,1,3,
Nando,Pako e Haldan,3,0,
